system:time_start,evi,ndvi
"Jan 5, 2020",0.217,-0.032
"Jan 10, 2020",0.689,-0.03
"Jan 15, 2020",0.311,-0.052
"Jan 20, 2020",0.21,0.311
"Jan 25, 2020",0.236,-0.017
"Jan 30, 2020",0.256,0.146
"Feb 4, 2020",0.333,-0.047
"Feb 9, 2020",0.208,-0.029
"Feb 14, 2020",0.182,0.215
"Feb 19, 2020","-26,980,831,767.709",0.021
"Feb 24, 2020",0.26,-0.062
"Feb 29, 2020",0.317,0.408
"Mar 5, 2020",-0.137,0.008
"Mar 10, 2020",0.258,0.451
"Mar 15, 2020",0.429,0.687
"Mar 20, 2020",0.362,0.275
"Mar 25, 2020",0.486,0.427
"Mar 30, 2020",0.456,0.332
"Apr 4, 2020",0.435,0.51
"Apr 9, 2020",0.41,0.362
"Apr 14, 2020",0.582,0.685
"Apr 19, 2020",0.489,0.278
"Apr 24, 2020",0.536,0.719
"Apr 29, 2020",0.518,0.729
"May 4, 2020",0.464,0.414
"May 9, 2020",0.224,0.06
"May 14, 2020",0.4,0.639
"May 19, 2020",0.144,-0.018
"May 24, 2020",0.326,0.574
"May 29, 2020",0.29,0.496
"Jun 3, 2020",0.226,0.3
"Jun 8, 2020","-46,895,255,215.675",0.027
"Jun 13, 2020",0.276,0.335
"Jun 18, 2020",0.256,0.472
"Jun 23, 2020",0.279,0.312
"Jun 28, 2020",0.776,0.08
"Jul 3, 2020",0.554,0.093
"Jul 8, 2020",0.191,0.377
"Jul 13, 2020",0.184,0.373
"Jul 18, 2020",0.184,0.409
"Jul 23, 2020",0.229,0.159
"Jul 28, 2020",0.186,0.422
"Aug 2, 2020",0.199,0.411
"Aug 7, 2020",0.232,0.322
"Aug 12, 2020",0.344,0.076
"Aug 17, 2020",0.27,0.547
"Aug 22, 2020",0.307,0.602
"Aug 27, 2020",0.346,0.641
"Sep 1, 2020",0.367,0.539
"Sep 6, 2020",0.43,0.721
"Sep 11, 2020",0.512,0.714
"Sep 16, 2020",0.502,0.741
"Sep 21, 2020",0.519,0.783
"Sep 26, 2020",0.333,0.217
"Oct 1, 2020",0.53,0.759
"Oct 11, 2020",0.51,0.478
"Oct 16, 2020",0.474,0.663
"Oct 21, 2020",0.463,0.386
"Oct 26, 2020",1.019,0.035
"Oct 31, 2020","41,756,049,164.848",0.055
"Nov 5, 2020",0.336,0.056
"Nov 10, 2020",0.336,0.279
"Nov 15, 2020",0.344,0.519
"Nov 20, 2020",0.245,0.306
"Nov 25, 2020","35,010,841,222.676",0.26
"Nov 30, 2020",0.386,0.12
"Dec 5, 2020",0.241,-0.046
"Dec 10, 2020",0.049,-0.048
"Dec 15, 2020","-2,569,603,025.863",0.008
"Dec 20, 2020",0.299,0.168
"Dec 30, 2020","-8,683,746,695.264",0.023
